9,7863
15,298522
19,509825
51,192496
53,197556
60,25832
66,432968
78,483911
84,498795
87,183871
90,202013
93,57414
95,607085
110,215142
117,4346
128,275261
130,283512
133,268297
139,618458
143,7384
150,558295
155,275261
158,21244
159,67176
175,458618
178,492603
181,539951
186,310379
198,287561
199,275261
209,275261
218,3669
232,275261
234,608832
241,89931
270,275261
277,386292
284,33401
288,340621
290,275261
291,569554
294,594998
298,222310
301,340621
309,525318
331,546722
338,612520
341,100974
355,158108
390,430500
396,241784
400,559512
406,501617
408,483540
411,384567
412,275261
430,283541
432,428249
447,457583
448,13647
454,76276
461,219929
494,436071
495,519063
504,231645
505,603153
513,28506
520,315265
522,230821
536,221736
540,300668
558,309416
564,275261
566,432847
590,573838
592,617405
607,240047
609,454276
628,29420
655,439155
660,83142
665,173954
677,277483
679,504185
684,175835
688,170885
712,55345
730,275261
733,225587
746,500514
749,96467
755,32854
756,354600
759,369167
760,118236
763,18361
772,243433
778,273171
781,129811
785,296519
793,519767
796,567547
799,477166
801,580956
834,460940
845,614925
861,275261
867,275261
877,51601
882,605401
883,456882
893,370727
903,127505
905,172457
919,275261
928,70896
930,568227
931,244873
934,37625
936,25311
952,321362
955,616649
973,329082
974,277511
975,594081
978,451131
991,280997
997,63504
998,275261
1009,118932
1015,230010
1016,225363
1019,460669
1032,457402
1041,267723
1054,85222
1065,205559
1069,369920
1070,507612
1071,442613
1075,202581
1078,138113
1080,347410
1083,276035
1085,352650
1092,75343
1099,280533
1107,116801
1114,604907
1122,617599
1123,135984
1136,230361
1141,139601
1144,324472
1147,564472
1160,23521
1170,577238
1178,192632
1179,224508
1181,447499
1182,84070
1191,207030
1199,468022
1208,74393
1245,587979
1248,527898
1275,95143
1280,146805
1288,196819
1292,522199
1297,623778
1306,275261
1309,505775
1313,56970
1333,193298
1334,273325
1337,101872
1352,134489
1372,523924
1391,221736
1395,202581
1398,275261
1399,517004
1400,253306
1406,275261
1424,196941
1427,275261
1432,413331
1433,226677
1434,451729
1447,580685
1454,173094
1457,17571
1463,508872
1477,450349
1478,44035
1485,76570
1486,454589
1491,190019
1493,589810
1495,185665
1501,67136
1504,275261
1516,275261
1518,291427
1521,382448
1524,312904
1531,60377
1535,44999
1548,120471
1552,129253
1568,180171
1573,205414
1580,22757
1589,401578
1590,593900
1592,513272
1599,153097
1614,41821
1618,377478
1620,471113
1629,498673
1634,410641
1641,21244
1647,275261
1650,75757
1672,455113
1674,275261
1694,282465
1697,253684
1698,192632
1704,508510
1707,320955
1712,297412
1726,340621
1742,253800
1743,469362
1747,303835
1760,82708
1771,320368
1776,275261
1781,231645
1813,188632
1814,518287
1816,460531
1823,366123
1835,100520
1861,139496
1862,18147
1863,344617
1867,22699
1883,275261
1915,423102
1922,422504
1929,111411
1936,221736
1938,521254
1939,618781
1944,315785
1945,334797
1949,483899
1961,88715
1965,61720
1968,82847
1990,36286
1993,135169
2001,195644
2012,40539
2015,413207
2017,163332
2044,407331
2063,438231
2069,125737
2076,275261
2078,246846
2082,507817
2089,159688
2107,541471
2113,546325
2115,275261
2122,513731
2126,33315
2131,42691
2132,246378
2146,80314
2151,176250
2157,391193
2159,275261
2162,461814
2169,275261
2171,275261
2179,275261
2182,107432
2183,244537
2205,166998
2214,507010
2221,375421
2225,583862
2235,7863
2239,162359
2241,273065
2244,275261
2260,509800
2265,461439
2270,28859
2272,492603
2278,325346
2292,522432
2306,511100
2311,206709
2318,556257
2319,188246
2323,530399
2330,402229
2341,468022
2342,406535
